H Mass Fractions
H 1 Msun, Z=0.0060 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 2.721E-28 & \\ 
 & Sn-125    & 1.201E-15 & \\ 
 & Sn-126    & 3.733E-11 & \\ 
 & Sn-127    & 4.811E-26 & \\ 
 & Sn-128    & 2.871E-26 & \\ 
 & Sn-129    & 1.961E-32 & \\ 
 & Sn-130    & 2.290E-36 & \\ 
 & Sb-112    & 1.000E-99 & \\ 
 & Sb-113    & 1.000E-99 & \\ 
 & Sb-114    & 1.000E-99 & \\ 
 & Sb-115    & 1.000E-99 & \\ 
 & Sb-116    & 1.000E-99 & \\ 
 & Sb-117    & 1.000E-99 & \\ 
 & Sb-118    & 1.000E-99 & \\ 
 & Sb-119    & 1.000E-99 & \\ 
 & Sb-120    & 1.000E-99 & \\ 
 & Sb-121    & 6.084E-11 & \\ 
 & Sb-122    & 1.176E-16 & \\ 
 & Sb-123    & 5.345E-11 & \\ 
 & Sb-124    & 8.995E-21 & \\ 
 & Sb-125    & 1.531E-11 & \\ 
 & Sb-126    & 4.569E-17 & \\ 
 & Sb-127    & 4.104E-16 & \\ 
 & Sb-128    & 2.085E-21 & \\ 
 & Sb-129    & 5.033E-22 & \\ 
 & Sb-130    & 2.212E-26 & \\ 
 & Sb-131    & 6.128E-28 & \\ 
 & Sb-132    & 4.425E-34 & \\ 
 & Sb-133    & 1.419E-37 & \\ 
 & Te-114    & 1.000E-99 & \\ 
 & Te-115    & 1.000E-99 & \\ 
 & Te-116    & 1.000E-99 & \\ 
 & Te-117    & 1.000E-99 & \\ 
 & Te-118    & 1.000E-99 & \\ 
 & Te-119    & 1.000E-99 & \\ 
 & Te-120    & 2.570E-14 & \\ 
 & Te-121    & 4.910E-19 & \\ 
 & Te-122    & 1.527E-11 & \\ 
 & Te-123    & 3.077E-12 & \\ 
 & Te-124    & 7.815E-11 & \\ 
 & Te-125    & 2.719E-11 & \\ 
 & Te-126    & 1.521E-10 & \\ 
 & Te-127    & 4.618E-17 & \\ 
 & Te-128    & 1.506E-10 & \\ 
 & Te-129    & 1.801E-22 & \\ 
 & Te-130    & 1.445E-10 & \\ 
 & Te-131    & 1.108E-26 & \\ 
 & Te-132    & 5.645E-17 & \\ 
 & Te-133    & 3.254E-26 & \\ 
 & Te-134    & 1.319E-27 & \\ 
 & I-117     & 1.000E-99 & \\ 
 & I-118     & 1.000E-99 & \\ 
 & I-119     & 1.000E-99 & \\ 
 & I-120     & 1.000E-99 & \\ 
 & I-121     & 1.000E-99 & \\ 
 & I-122     & 1.000E-99 & \\ 
 & I-123     & 1.000E-99 & \\ 
 & I-124     & 1.000E-99 & \\ 
 & I-125     & 1.297E-17 & \\ 
 & I-126     & 3.737E-20 & \\ 
 & I-127     & 3.319E-11 & \\ 
 & I-128     & 1.349E-26 & \\ 
 & I-129     & 1.879E-11 & \\ 
 & I-130     & 1.193E-19 & \\ 
 & I-131     & 1.776E-14 & \\ 
 & I-132     & 1.740E-18 & \\ 
