H Mass Fractions
H 3 Msun, Z=0.0001 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 0.000E+00 & \\ 
 & Pd-106    & 1.805E-11 & \\ 
 & Pd-107    & 3.245E-12 & \\ 
 & Pd-108    & 2.100E-11 & \\ 
 & Pd-109    & 5.958E-34 & \\ 
 & Pd-110    & 3.901E-12 & \\ 
 & Pd-111    & 8.609E-38 & \\ 
 & Pd-112    & 1.000E-99 & \\ 
 & Ag-101    & 1.000E-99 & \\ 
 & Ag-102    & 1.000E-99 & \\ 
 & Ag-103    & 1.000E-99 & \\ 
 & Ag-104    & 1.000E-99 & \\ 
 & Ag-105    & 1.000E-99 & \\ 
 & Ag-106    & 1.000E-99 & \\ 
 & Ag-107    & 7.749E-13 & \\ 
 & Ag-108    & 1.000E-99 & \\ 
 & Ag-109    & 6.539E-12 & \\ 
 & Ag-110    & 1.084E-40 & \\ 
 & Ag-111    & 1.437E-33 & \\ 
 & Ag-112    & 1.000E-99 & \\ 
 & Ag-113    & 1.000E-99 & \\ 
 & Cd-102    & 1.000E-99 & \\ 
 & Cd-103    & 1.000E-99 & \\ 
 & Cd-104    & 1.000E-99 & \\ 
 & Cd-105    & 1.000E-99 & \\ 
 & Cd-106    & 6.269E-14 & \\ 
 & Cd-107    & 1.000E-99 & \\ 
 & Cd-108    & 4.598E-14 & \\ 
 & Cd-109    & 9.605E-23 & \\ 
 & Cd-110    & 1.525E-11 & \\ 
 & Cd-111    & 6.020E-12 & \\ 
 & Cd-112    & 2.108E-11 & \\ 
 & Cd-113    & 6.309E-12 & \\ 
 & Cd-114    & 2.851E-11 & \\ 
 & Cd-115    & 5.453E-32 & \\ 
 & Cd-116    & 1.075E-11 & \\ 
 & Cd-117    & 3.486E-36 & \\ 
 & Cd-118    & 1.000E-99 & \\ 
 & In-106    & 1.000E-99 & \\ 
 & In-107    & 1.000E-99 & \\ 
 & In-108    & 1.000E-99 & \\ 
 & In-109    & 1.000E-99 & \\ 
 & In-110    & 1.000E-99 & \\ 
 & In-111    & 1.000E-99 & \\ 
 & In-112    & 1.000E-99 & \\ 
 & In-113    & 2.575E-14 & \\ 
 & In-114    & 1.000E-99 & \\ 
 & In-115    & 6.193E-12 & \\ 
 & In-116    & 1.000E-99 & \\ 
 & In-117    & 3.410E-37 & \\ 
 & In-118    & 1.000E-99 & \\ 
 & In-119    & 1.000E-99 & \\ 
 & Sn-108    & 1.000E-99 & \\ 
 & Sn-109    & 1.000E-99 & \\ 
 & Sn-110    & 1.000E-99 & \\ 
